Nomes,P1,P2,P3
Samuel Ribeiro,5,2.9,5.4
Manuela Ferreira,6.4,5.2,5.6
Carla Alves,3.2,5,6
André Pinto,9,8.2,8.6
Nicolas Oliveira,6.3,4.9,5.8
Raissa Ribeiro,9.1,7.3,7.8
Livia Costa,9.1,8.7,7.8
Felipe Fernandes,8.1,8.9,9.2
Sofia Rodrigues,9.1,9.1,10
Daniel Santos,4.5,6.5,9.1
Erick Costa,5.2,4.9,6.3
Laura Araujo,2.2,4.6,1.9
Nicolash Carvalho,7.5,6.1,6.3
Samuel Carvalho,9.3,7.3,7.3
Emilly Gomes,8.1,7.2,6.3
Ana Ferreira,5.5,6.5,6.7
Laura Alves,7.3,5.6,5.9
Daniel Costa,2.3,4.7,3.6
Douglas Martins,9.3,8.9,6.2
Julian Goncalves,9.1,7.8,9
Caio Gomes,2.5,3.5,3
