Nomes,P1,P2,P3
Estevan Melo,8.5,6.4,6.8
Raissa Rocha,8.9,7.3,8.8
Thiago Sousa,7.4,8,8.3
Larissa Melo,7.3,6.7,8.7
Gabriel Gomes,6.6,7.7,8
Danilo Santos,4.2,4.2,5.3
Laura Rocha,5.4,6.4,7.3
Fábio Melo,7.9,7.6,9.2
Joao Rodrigues,4.4,4.1,3.4
Matheus Silva,7.2,7.4,7.2
Isabelle Melo,6.9,6.4,7.5
Manuela Carvalho,4,4.5,4.2
Vitória Carvalho,7,5.7,6
Carolina Barros,8.8,6.5,10
Joao Rocha,6.7,7.3,7.9
Sofia Sousa,8.8,7.1,7.3
Julia Barros,9.3,9.5,9
Júlia Castro,5.1,3.7,3.9
Leonor Silva,7.5,9,7.8
Victor Melo,8.8,8.1,9.9
Leonardo Costa,5.1,5.3,4.7
Gabriela Gomes,6.8,7.4,8
Bianca Barros,7.2,9.3,6.6
Fernanda Cardoso,7.6,5.1,5.3
Matheus Ferreira,4.6,6.8,4.3
Ágatha Barros,4.6,5.5,2.9
Luana Cardoso,6.2,5.1,5.9
Carolina Correia,4.1,4.8,2.8
Leila Sousa,8,8.2,6.3
Renan Melo,4.1,3.5,4
André Sousa,4,5.6,5.4
Ryan Santos,8.3,4.9,6.6
Pedro Correia,7.6,6.8,7.1
Julia Pinto,5.6,6.5,6.2
Paulo Carvalho,3.3,4.3,3.6
Vinicius Rocha,4.3,4.7,4.7
Lavinia Barbosa,2.3,5.1,3.6
Clara Araujo,7.8,7.6,7.7
Alice Sousa,7.2,6.6,5.1
