Nomes,P1,P2,P3
Marcos Alves,7.7,6.7,7.9
Luan Costa,3.5,5,4.1
Nicolash Cunha,6.8,5.7,7.3
Melissa Barros,7.7,8,7.5
Ryan Lima,4,6.6,5.5
Gabrielle Barbosa,4.2,4,4.8
Guilherme Pinto,5.1,3.5,7.4
Beatrice Sousa,8.6,8.4,9.9
Giovanna Dias,6.8,5.7,6.6
Gabriel Rocha,8.6,9.4,8.5
Sophia Cavalcanti,7.3,6,9.4
Rebeca Rodrigues,8.6,9,8.5
Camila Pinto,10,8.7,9.7
Lavinia Fernandes,6.7,6.4,6.4
Anna Almeida,9.7,6.6,7
Tomás Ferreira,8.9,9.1,6
Julieta Costa,5.3,3.4,4.5
Luís Melo,7,10,8.3
Gabrielle Rocha,8.4,9.1,10
Miguel Almeida,6.7,7.5,9
Sophia Lima,5.2,5.7,4.9
Vinícius Martins,4.9,6.1,5.6
Gabriela Souza,3.6,3.9,2.6
Guilherme Pinto,8.5,7.5,7.9
Luiza Dias,5.8,6.5,7.9
Otávio Lima,6.2,10,7.9
Matheus Correia,3.3,4.1,6.1
Vinicius Azevedo,4.7,5.8,5.6
Pedro Souza,6.7,7,6.6
José Carvalho,6.1,5.1,6
Danilo Azevedo,8.6,10,9.8
Rafaela Cunha,9.2,10,8.3
Bianca Dias,7.9,8.3,8.9
Luiz Carvalho,5.3,5.3,4
Mariana Lima,5,3.1,2.8
Luís Ferreira,7,8.2,5.2
Larissa Melo,8.2,7,8.6
