Nomes,P1,P2,P3
Ágatha Ferreira,9.4,8.6,10
Marisa Azevedo,2.9,3.7,4.3
Murilo Silva,9.4,8.4,8.4
Ana Almeida,9.8,10,10
Eduarda Dias,5.7,5.2,5
Luana Costa,6.1,8.9,10
João Martins,5.6,6.1,4.8
Tomás Correia,8.4,7.3,9.4
Lara Dias,7.4,7.6,8.3
Manuela Almeida,7.7,7.4,6.3
Isabelle Araujo,8.4,8.5,7
Joao Rocha,6,6.1,5.1
Gustavo Rodrigues,8.8,7.6,9.2
Fernanda Martins,5.4,3.4,6.5
Clara Cavalcanti,7.8,7.3,7.3
Nicolas Dias,7.4,5.9,6.5
Cauã Fernandes,7.7,8.6,7.9
Luiz Azevedo,6.6,7.6,8.8
Anna Rocha,8,9,8.4
Gabrielle Araujo,5.3,6.6,5.8
Kauan Dias,8.1,9.8,9
Alice Carvalho,3.9,3.7,5
