Nomes,P1,P2,P3
Kaua Araujo,8.2,9.8,8.7
Emilly Carvalho,3.2,5.3,4.9
Laura Oliveira,5.7,5.8,6.5
Bruna Goncalves,5.1,5.6,6.9
Leila Barros,4.2,4.1,5
Luana Barbosa,4.2,4.5,5.1
Clara Correia,6.3,5.9,4.1
Eduarda Barros,5.5,5.6,4.9
Igor Castro,7.9,7.3,7.2
Kaua Costa,4.8,6.6,7.4
Vinícius Cardoso,7.8,10,9.1
Tomás Lima,5.3,4.3,5.4
Kauã Melo,5.6,3.7,4.4
Gabrielly Martins,7.7,7.5,6.9
Nicolas Azevedo,7.9,8.4,6.2
Rebeca Souza,6.6,7.4,8.1
Leonardo Rodrigues,9.2,8.9,9.4
Larissa Almeida,6.6,7.6,5.2
Samuel Lima,5.1,4.2,4.8
Rafaela Carvalho,5,5.1,6.6
Tiago Araujo,10,9.3,9.2
Erick Lima,5.1,4,5.2
Julia Barros,6.6,6.1,5.7
