Nomes,P1,P2,P3
Mariana Pereira,10,8.9,9.7
Bruno Melo,6,6.9,7.3
Vinicius Azevedo,4.2,5.3,3
Luiza Goncalves,4.1,3.7,4.5
Vinícius Dias,5.7,4.9,4.1
Leonor Cunha,6.7,6.1,4.5
Gabriela Pereira,9.7,9.5,8.3
Fernanda Almeida,8.7,6.3,7.5
Maria Fernandes,7.2,5.2,5.7
Kai Cardoso,6.9,5.2,5.2
Tomás Cavalcanti,5.8,5.7,6.4
Gabriela Ribeiro,6.7,6.8,7.5
Tânia Alves,4.4,6.1,7.7
Leonardo Costa,9.6,10,7.5
Nicolash Sousa,6.9,5.7,4.7
Yasmin Azevedo,10,10,9.3
Marcos Barros,6.9,5.2,6.5
Eduarda Sousa,7.1,8.3,9
Fernanda Azevedo,4.3,6.6,5.1
Rafael Fernandes,4.2,3.4,2.3
