Nomes,P1,P2,P3
Arthur Cunha,6.5,8.3,6.2
Gabriel Rodrigues,4.8,4.6,4.3
Vinícius Barros,7.6,6.6,7.9
Thaís Barros,10,8.3,7.2
Giovanna Pinto,8,5.6,6.2
Yasmin Barros,8.6,10,8.7
Bruna Santos,6.2,8.2,7.9
Rodrigo Gomes,5.3,4.6,2.2
Thiago Souza,6.5,6.9,4.5
Julian Barros,8.2,6.9,9.6
Ryan Fernandes,4.7,6.8,4.2
Gabriel Araujo,4.1,3.2,5.5
Melissa Oliveira,6.1,8,6.7
Beatriz Azevedo,8.8,9.9,8.8
Julia Carvalho,8.3,10,8.6
Luiza Silva,8.5,9.4,8.1
Samuel Ferreira,10,9.8,9.7
Emilly Barbosa,9,6.6,6.7
Letícia Almeida,8.5,7.5,9.4
Raissa Oliveira,8.5,8.5,10
Evelyn Araujo,8.7,8.7,8.3
Sophia Martins,4.8,3.5,4
Joao Rocha,2.4,4.1,5.3
Bruna Almeida,6.2,8.1,5.8
Ryan Castro,2.9,5.6,3
Vitor Goncalves,6.5,5.9,5.8
