Nomes,P1,P2,P3
Luiz Silva,9,8.3,8.4
Evelyn Castro,5.6,4.1,5.1
Vitór Silva,5.1,3.3,4.1
Diogo Pereira,4.5,5.8,4.1
Julian Lima,5.1,5.1,5.7
Maria Azevedo,9,7.5,8.5
Ana Martins,2.9,6.1,2.7
Fernanda Alves,8.6,7.4,8
Arthur Souza,9.5,8.3,10
Emily Melo,8.6,6.5,6.9
Isabela Martins,6,1.6,6
Enzo Rocha,8.3,7.5,7.1
Mariana Gomes,6.9,9.1,7.8
Matilde Cavalcanti,6.4,8.5,6.7
Luis Lima,7.7,7.8,9
Matilde Rocha,8.7,6.8,8.6
Gustavo Ferreira,8.5,9.9,10
Antônio Santos,2.9,3.4,3.2
Tomás Santos,7.8,9.2,7.8
Gabriel Almeida,3.9,2.9,4.1
Vitor Ferreira,5.6,7.5,7.3
Laura Pereira,7,6,7.4
Marina Azevedo,6.9,7.5,9.5
Tomás Rocha,4.2,4.3,5.7
Isabella Cardoso,7.9,8.3,6.4
Vitória Rocha,8.5,9.8,10
Rafaela Fernandes,6.3,7.2,6.4
Nicolas Melo,9.5,9.3,8.4
João Araujo,7,5,7.5
Carolina Rocha,6.4,4.3,7.6
