Nomes,P1,P2,P3
Tomás Dias,9.8,9.5,9.4
Gabriela Pereira,6.6,7,7.1
Marcos Correia,7.9,7.3,7.4
Sofia Gomes,8,9.3,8.5
Letícia Cardoso,7.5,8,9
José Correia,5.5,5.8,7.7
Guilherme Alves,5.3,4.5,6
Diogo Santos,8.2,6.3,5.6
Larissa Cunha,6.8,4.8,5.9
Julia Barros,8.6,8.5,9.3
Livia Rocha,4.1,5.1,6.1
Ágatha Araujo,8.3,9,8.5
Bruno Ribeiro,8.4,9.6,6.2
Carolina Lima,6.9,7.7,9.2
Maria Pereira,9,10,10
Eduardo Ribeiro,10,9.5,9.7
Lara Pinto,10,10,8.6
Carolina Pinto,4.2,4,2.7
Amanda Rodrigues,9.8,7.9,8.6
Paulo Barros,6.6,5.8,5.1
Cauã Melo,5.7,3.8,4.8
Sophia Castro,7.6,9,8.2
Gabriela Souza,7.5,6.6,9
Gabrielly Goncalves,7.2,6.9,6.7
Isabelle Cardoso,5.5,4.6,5.4
Marina Ribeiro,7.2,6.1,5.3
Carlos Fernandes,2.4,3.6,4.2
Clara Correia,5.1,6.8,5.8
Felipe Santos,6.4,5,3.7
Camila Pinto,9.7,8.8,10
Nicolas Barros,6.2,7.4,6.5
Nicole Souza,4.5,4.7,3.2
Joao Almeida,6.2,6.7,5
Mateus Goncalves,8.1,10,10
Cauã Martins,5.4,4.5,4.8
Mariana Carvalho,6.1,7.7,7.8
Victor Barros,7.1,8.2,7.8
Nicolash Azevedo,4.1,3.6,5.5
Luis Fernandes,8.3,6.9,7.9
Emilly Sousa,4.3,4.6,5.1
