Nomes,P1,P2,P3
Ryan Martins,5.2,4.9,5.1
Otávio Oliveira,6.4,7.3,8.1
Carlos Alves,9.8,9.5,10
Anna Alves,8.2,7.6,4.7
Luana Cardoso,5.2,4.5,5.4
Douglas Cunha,4.8,4.1,3.6
Alex Melo,3,1.1,4.2
Ana Souza,8.8,7.5,10
Laura Ribeiro,6,5.9,3.3
Ryan Fernandes,9.1,10,9.1
Rebeca Silva,4,4.4,3.2
Tiago Pinto,7.6,7,7.8
Yasmin Fernandes,5.2,6.5,6.3
Samuel Alves,7.6,6.3,6.8
Sofia Cavalcanti,7.8,10,9.6
Vitor Lima,4.4,6.2,6.8
Daniel Oliveira,8.6,8.2,8.1
Tânia Sousa,4.9,4,3.4
Vitoria Barros,3.6,4.1,5.4
Eduardo Souza,9.9,9.1,8.7
Carlos Ferreira,8.2,10,9.9
