Nomes,P1,P2,P3
Alice Goncalves,7,5.3,5.5
Martim Rodrigues,6.3,6.2,4.5
Rodrigo Fernandes,7.9,7.7,8.1
José Pinto,7.9,8,7
Diego Barros,5.4,2.9,3.3
Carolina Pinto,4.5,4,3.9
Enzo Castro,7.4,8.5,7.4
Danilo Melo,7.9,6.9,7.8
Vinícius Pinto,8.2,9.7,9
Julieta Martins,7.5,6.5,7.4
Alex Lima,9.4,9.5,7.5
Letícia Dias,3.1,5.5,3.4
Emily Dias,5,5.1,4.4
Manuela Ribeiro,8.3,7.8,10
Thaís Santos,4.7,7.7,7
Igor Silva,6.6,3.9,5.5
Luís Cardoso,8.9,7.3,9.2
Gustavo Castro,8.8,9.4,9.1
Julia Rodrigues,9.1,8.4,7.4
José Pereira,9.1,8.9,9.9
Isabella Carvalho,7.5,7.3,6.3
Alice Costa,5.4,5.4,4.2
Erick Costa,7.3,6.8,7.5
Rodrigo Dias,9,9.3,8.4
Martim Melo,5,4.6,4
