Nomes,P1,P2,P3
Nicolash Azevedo,4.4,4.3,3.9
Marisa Oliveira,8,9.3,8.9
Matilde Araujo,5.1,5.4,6.5
Douglas Ferreira,4.3,5.4,3.3
Victor Oliveira,10,9.8,8.1
Ágatha Silva,4.3,5.6,4.1
Guilherme Lima,5.2,4.1,3.3
Aline Lima,6.9,4.9,8.2
Vitoria Barbosa,6.8,5.4,5.7
Ryan Silva,3.5,3.7,2.9
Renan Rodrigues,4.9,4.2,4.1
Samuel Martins,3.8,4.5,4.2
Kaua Silva,3.5,4.5,2.5
Julian Carvalho,6.5,7.2,7.4
Vitor Pereira,7.8,7.9,5.4
Amanda Cavalcanti,3,2.7,4.4
Luís Fernandes,4.8,6,7.2
Leonor Lima,9.3,8.6,9
Bruno Ribeiro,5.8,8.3,6.4
Leila Ferreira,6.9,8.5,8.3
Breno Alves,9.5,9.8,9.9
