Nomes,P1,P2,P3
Bruna Pereira,7.7,6,7.3
Samuel Santos,5.8,6.1,6.6
Ryan Goncalves,7.9,7,7.9
Isabella Correia,7.5,5.7,5.2
Rebeca Ribeiro,6.6,7.3,5.3
Giovanna Fernandes,6.4,6.7,8.1
Victor Souza,8.2,9,6.8
Fábio Melo,7,6.5,6.2
Nicolash Almeida,2.8,5.4,4.5
Joao Pereira,4.1,5.3,5.3
Cauã Almeida,8.6,8.1,9.8
Yasmin Costa,8.1,7.8,7.9
Vinícius Pereira,7.7,7.6,6.7
Vitoria Gomes,10,7.4,10
Marisa Correia,5.9,3.6,4.9
Miguel Silva,9.3,9.1,9.9
Felipe Almeida,7,6.3,6.9
Leonardo Souza,8.2,7.5,8.3
Arthur Dias,9.3,8.8,6.5
Luan Souza,4.3,4.3,4.4
Thaís Pereira,10,10,8.7
Gabrielly Ribeiro,6,6.3,4.5
Vitór Castro,1.9,5.5,4.3
Vitor Cardoso,3.7,3.6,1.7
Kauan Rocha,9.1,9.1,9.4
Luis Melo,6.3,6.9,8
Mariana Cardoso,6,6.1,5.4
Emilly Ferreira,5.5,5.9,7.4
Guilherme Santos,4.3,5.7,5.3
Mateus Almeida,7.2,7.4,7.3
Arthur Azevedo,4.8,4,5.1
Leila Ferreira,7.5,9.6,5.8
Tiago Souza,9.6,8,9.7
Rafael Silva,9,5.7,9
Luis Barros,10,8.7,9
Maria Souza,7.6,7.1,7.5
Luís Correia,8.5,8.8,9
Bruno Azevedo,6.1,6.5,4.3
