Nomes,P1,P2,P3
Leila Santos,4.9,4.9,4.6
Gabriel Cardoso,5.2,4.3,4.7
Isabella Martins,7.1,6.1,6.8
Martim Ribeiro,4,5.8,3.1
Douglas Pinto,5.7,7.9,6.2
Vinicius Cunha,3.7,5.6,4.3
Beatriz Costa,6.3,8,7.1
Bianca Costa,9.8,8.4,8.3
Pedro Alves,3.1,5.2,3.4
Breno Castro,4.3,7.1,4.5
Vinícius Fernandes,6.5,4.2,4.3
Luana Oliveira,3.7,2.8,0.9
Luís Pinto,2.7,3.6,4.5
Thaís Lima,4.3,5.5,3
Felipe Almeida,9.4,9.4,9.2
Letícia Correia,9.5,10,8.6
Igor Ribeiro,5.4,5.4,6.8
Beatriz Dias,4.6,5.5,5.4
Emilly Silva,6.6,6.4,8.5
Kauan Gomes,8.2,6.1,8.2
Giovana Fernandes,8.5,8.3,8.5
Júlia Almeida,10,9,8.6
Clara Dias,7.4,7.2,7.1
Sarah Silva,3.4,3.5,2.3
Rebeca Barbosa,8.8,8.2,7.6
Camila Silva,5.2,4.5,5.8
Clara Silva,3.6,3,2.7
