Nomes,P1,P2,P3
Alice Martins,10,7.9,10
Matilde Silva,8.3,7.8,7.7
Emilly Rodrigues,8,7.2,7.5
Raissa Costa,2.9,3.2,3.5
Matheus Araujo,10,10,10
Eduardo Ribeiro,7.4,7.5,7.5
Luiza Barbosa,5.7,5.4,6.9
Rebeca Sousa,9.7,9.7,8.6
Bianca Souza,7.6,9.3,8.9
Lavinia Cunha,2.8,5.2,6.1
Gabriel Sousa,3,3.9,4.8
Tânia Pinto,7.6,10,8.7
Isabelle Goncalves,5.5,4.2,4.4
Vitoria Goncalves,4.5,3,4.8
Gabrielly Cavalcanti,5.7,5,5.6
André Sousa,6.9,9.5,6.1
Yasmin Pereira,5.9,6.1,3.7
Julia Barbosa,7.8,8.2,8.3
Renan Costa,6.2,7.1,6.2
Tânia Lima,8.3,6.2,7.4
Beatriz Rodrigues,4.4,4.2,5.4
Melissa Santos,3.5,4.7,4
Davi Cavalcanti,9.1,8.8,8.2
Luis Ribeiro,10,7.2,6.8
Kauã Lima,7.3,6.5,8.5
Eduarda Azevedo,8.3,7.5,7.4
Kauã Correia,8.8,7.9,8.5
Kai Carvalho,8,5.9,5.8
Thiago Cunha,7.5,8.2,10
Giovanna Carvalho,8.4,8.3,8
Kauê Carvalho,5.3,7.8,8.2
Kauan Rodrigues,8.5,7.5,8.8
