Nomes,P1,P2,P3
Sarah Souza,8.4,5.7,7.4
Yasmin Costa,8,7.2,7.8
Aline Cavalcanti,3.4,2.7,2.4
Julieta Barbosa,6.2,4.2,7.2
Brenda Souza,4.7,4.1,5.6
Otávio Castro,7.8,9,9.9
Nicolas Azevedo,7.2,7.7,8.7
Cauã Oliveira,5,8.2,3.9
Ryan Dias,7.1,7.8,9.1
Eduardo Santos,7.9,7.1,7.9
Maria Ribeiro,7.2,7.7,6.4
Livia Silva,8,9.6,8.5
Rodrigo Silva,6.4,7,9.1
Julieta Araujo,5.9,6.9,8.9
Carlos Gomes,4.6,2.8,5
Estevan Santos,9.9,8.6,10
Amanda Azevedo,3.6,4.7,4.5
Julia Santos,6.3,8.1,4.5
Caio Cavalcanti,4.5,5.7,4.6
Eduarda Alves,7.1,6.8,6.9
Alice Fernandes,8.3,6.5,6.9
André Rocha,6.6,7.3,7.6
Kaua Goncalves,7.6,9.3,7.5
Luiz Rocha,3.6,5.9,3.1
