Nomes,P1,P2,P3
Gabrielle Rocha,9.1,7.6,10
Isabelle Fernandes,3,5.7,4.8
Laura Cunha,8.9,7.6,8.4
Carlos Castro,9.5,8.6,7.9
Vitór Gomes,6.7,7.2,6.4
Vitór Souza,7.9,8.7,8.8
Rodrigo Castro,4.2,4.7,5
Aline Araujo,6.2,6.9,2.4
Tiago Pereira,10,8.7,10
Kaua Fernandes,4.5,4.4,3.7
Carla Pereira,8.9,7.7,6.8
Bianca Correia,9.3,9.1,6.9
Mateus Cavalcanti,4.2,3.6,4
Leila Ferreira,5.9,5.6,7.3
Davi Silva,5.7,6.7,5.1
Joao Lima,8.2,8,8.4
Vinícius Pinto,4.8,4.3,4.2
Alex Correia,7.2,5.8,9
Pedro Correia,4.1,3.6,4.4
Joao Pinto,9.6,8.5,8.2
Breno Oliveira,8.4,9.8,10
Martim Goncalves,4.1,5.7,5.3
Júlia Barros,2.6,4.5,5.3
