Nomes,P1,P2,P3
Ágatha Dias,5.4,4.6,5.2
Ana Almeida,9.5,9.6,9.7
Rodrigo Dias,6,4.9,5.8
Tânia Ribeiro,8.3,7.6,8.1
Giovanna Souza,5.5,3.3,5.6
Leonor Barros,7,9.2,9.8
Amanda Araujo,5,4.3,4.8
Breno Sousa,2.7,2.7,2.7
Livia Dias,6.7,5.3,5.3
Felipe Silva,8.4,8.5,8.2
Aline Carvalho,4.4,5.8,4.4
Nicolas Souza,4.4,3.9,6.5
Igor Goncalves,6.1,7.6,6.1
Lucas Cavalcanti,6.6,6.1,7.7
Eduarda Melo,7.1,7.1,4.5
Joao Gomes,8.8,8.1,7.7
Gustavo Azevedo,4.1,3.9,3.9
Beatrice Costa,3.7,2.8,3.4
Raissa Araujo,0.9,2.9,5
Carlos Oliveira,6.4,6.8,6.7
Giovanna Pinto,9.4,10,10
Nicole Pereira,7.4,7.1,6.3
Ágatha Correia,7.3,6,5.8
Amanda Barros,5.9,7.9,7.6
Livia Sousa,5.9,5.9,7.9
Gabrielly Oliveira,4.3,5.9,6.3
Lara Ferreira,8.2,6.4,8.1
Manuela Oliveira,8.4,7.2,7.6
Arthur Melo,8.9,6.6,9.7
Sophia Melo,4.9,4.2,6.4
Eduardo Gomes,5.6,5.7,4.7
Emily Pinto,3.1,4.5,4.1
Bianca Gomes,6.4,6.2,4.1
Brenda Barbosa,6.8,6.5,5.8
