Nomes,P1,P2,P3
Kauan Sousa,8.5,10,7.9
Ágatha Pereira,4.4,4.3,5.2
Thaís Carvalho,4.6,3.3,4.3
Diogo Cavalcanti,5.6,3.5,3
Murilo Goncalves,4.4,3.4,3.1
Murilo Fernandes,6.6,5.8,7.1
Vitória Barbosa,9.3,10,9.8
Caio Cunha,6.3,6.9,5.9
Carlos Melo,7.2,6.8,4.7
Lavinia Araujo,4.9,2.2,3.2
Tiago Cavalcanti,7,4.3,7.8
Júlia Alves,9.2,10,8.3
Leonor Santos,4.4,4.1,3.5
Isabelle Rocha,6.1,5.5,6.3
Antônio Goncalves,8.1,7.7,6.7
Bianca Cardoso,2.4,2.3,4.7
Miguel Alves,6.2,5.9,5.6
Alex Ferreira,7.1,7.7,7.3
Aline Fernandes,8.9,10,10
Clara Lima,6.5,5.8,7.1
Manuela Fernandes,8.3,8.6,9.3
Sophia Correia,8.1,6,7.3
Tomás Oliveira,7.6,10,8.2
Vinícius Lima,5,5.7,4.1
Matheus Goncalves,4.1,2.8,2.8
Bianca Azevedo,6.6,8.3,8.5
Luís Sousa,9.2,6.7,7.5
Leonor Goncalves,5.9,5.7,7.7
Nicole Rocha,6.8,9,5.7
Luiza Araujo,4.3,4.3,4.4
