Nomes,P1,P2,P3
Manuela Pinto,6.8,6.6,4.6
Isabela Rodrigues,8.8,8.2,7.8
Isabella Carvalho,8,7.7,6.5
Julian Barbosa,5.2,6.3,5.5
Douglas Oliveira,8.5,7.1,4.5
Vitoria Costa,7,8,7.3
Gustavo Ribeiro,6.2,7.1,8
Gabrielly Ferreira,3.7,1.3,2.5
Carlos Sousa,6.5,4.5,4.9
Leonardo Castro,5.2,8.1,6.5
Laura Azevedo,4.5,5,3.5
Gustavo Pereira,6.9,8,6.8
Renan Almeida,7.7,6.3,6.8
Daniel Alves,6.6,9.3,7.4
André Rodrigues,7.8,6.2,4.9
Julia Costa,7.7,8.7,8.1
Tânia Dias,8.3,8.3,8.3
Luís Araujo,4.4,5.4,5.1
Vitória Carvalho,7,7.2,7.4
Victor Barros,6.6,7.6,8.7
