Nomes,P1,P2,P3
Júlia Barros,5.7,5.4,6
Matheus Cardoso,7.6,7.6,5.7
Camila Silva,5.6,10,5.6
Isabella Souza,6.5,6.3,6.4
Eduardo Fernandes,5.8,6.8,7.1
Thaís Gomes,5.1,4.6,6.1
Guilherme Almeida,1.7,2.5,4.6
Bruna Alves,7.9,8.2,7.9
Camila Cavalcanti,5.1,4.3,3.2
José Ferreira,8.4,7.6,8.1
Kaua Barros,7.4,6,6.5
Yasmin Silva,8,7.9,7.3
André Rocha,8.5,8.7,9.2
Vitória Melo,4.2,5.1,6.3
Camila Azevedo,6.6,3.3,5.3
Beatriz Silva,8.3,7.1,9.6
Douglas Silva,8.1,7.7,5.1
Isabela Goncalves,7.5,7,8.1
Nicole Ribeiro,6.6,7.3,6.4
Murilo Goncalves,4.7,4.3,3.7
Caio Costa,5.5,5.8,7.4
Vitória Fernandes,5,6,5.5
Ágatha Dias,8.6,9.6,9.3
Samuel Carvalho,5.3,7.1,5.8
Erick Araujo,8.7,6.2,6.6
Douglas Ferreira,8.5,8.3,7.7
Brenda Correia,3.5,4.2,2.1
Ágatha Lima,4.8,6,7.6
Vinicius Gomes,9.8,8.9,8.4
Miguel Pinto,5.9,7.9,6.7
Kauan Araujo,5.3,3.8,5.7
Renan Gomes,7.3,7.2,6.3
Tiago Castro,8.9,9.4,7.5
Gabrielly Oliveira,8.7,6,6.5
Kauê Costa,7.2,7.4,7.8
Tomás Silva,8,9.5,7.9
Lucas Ribeiro,6.9,7.7,9.1
Luis Dias,6,5.7,5.5
Luiz Martins,9.9,7.5,6.1
Vinicius Castro,5.6,6.3,4.9
