Nomes,P1,P2,P3
Caio Pinto,6.2,5.3,5.5
Luana Cavalcanti,7.5,6.5,7.4
Caio Ribeiro,4.1,5.7,3
Ryan Cavalcanti,6,4.9,5.5
João Fernandes,7.5,9.1,9.4
Letícia Santos,4.3,4.5,3.9
Isabella Souza,9,7.3,6.1
Carla Pereira,6.2,7.8,6.4
Leila Fernandes,8.5,8.3,8.4
Rebeca Rocha,5.3,3.7,5.8
Livia Almeida,5.4,5.5,4.9
Rebeca Melo,7.9,4.4,4.1
Douglas Ferreira,8.4,4.8,7.5
Beatriz Gomes,5.5,6.2,7
Luana Barbosa,5.7,5.6,3.3
Leonardo Souza,9.4,8.7,9.2
Gabrielly Alves,5,5.4,4
Lara Costa,6.6,8.9,7.1
Carlos Dias,5.7,6.1,6.1
Caio Oliveira,4.7,7.9,7.1
Eduardo Almeida,7.6,7,8.2
Luis Lima,6.9,6.6,6.6
Júlia Goncalves,9,9.4,8.7
Carla Gomes,8,10,8.9
Vinícius Lima,5.2,5.7,3.8
Vitór Martins,2.8,5,5.2
Lara Costa,6.5,5.6,5.2
Kauan Melo,7.2,8.4,8
Vitor Sousa,7.2,5.8,6.5
Bianca Oliveira,7.6,8.7,8.4
Leonor Lima,4.9,3.2,4.6
Alice Dias,8.4,10,8.8
Kaua Castro,6.5,10,6.8
João Almeida,8.3,8,7.2
Arthur Costa,4.4,3.4,4
Vinícius Araujo,3.8,2.8,3.5
Vinícius Souza,7.2,6.1,7.1
Tomás Ferreira,3.5,4.1,3.2
Alice Fernandes,6.6,6.7,9.9
João Correia,2.9,3.4,3.4
