Nomes,P1,P2,P3
Davi Barbosa,3.6,5.3,5.2
Júlia Dias,5.2,5.1,2.9
José Silva,8.6,9.2,6.1
Luís Fernandes,8.7,9.6,8.8
Clara Lima,7.4,6.4,8
Matilde Fernandes,10,8,10
Vitor Rodrigues,6.6,2.7,8.2
Leonor Souza,7.7,5.9,7
Thaís Rocha,6.5,5.9,6.6
Leonardo Goncalves,7.3,7.6,7.4
Gabrielle Oliveira,9.4,9.9,7.2
Matheus Lima,5.7,5,4.9
Arthur Gomes,9,8.7,8.2
Emily Rodrigues,7.8,7.8,7.1
Breno Almeida,7.4,8.3,9.7
Diego Dias,7.7,8.1,9.1
Paulo Souza,3.6,5.6,6.6
Antônio Cavalcanti,8.5,8.6,9.8
Rafael Barros,4.5,2.6,4.8
Caio Almeida,8.5,8,5.6
Leonor Pinto,8.9,10,9.8
Letícia Gomes,5.9,4.2,5.7
Luís Souza,4.8,6,5.3
